"ID","YEAR","EXP","WKS","OCC","IND","SOUTH","SMSA","MS","FEM","UNION","ED","BLK","LWAGE"
"A023",1980,15,48,0,0,0,1,1,0,0,16,0,7.86327
"A023",1981,16,47,0,0,0,1,1,0,0,16,0,8.03916
"A023",1982,17,50,0,0,0,1,1,0,0,16,0,7.89357
"A024",1976,5,30,0,0,0,0,0,1,0,12,0,5.43808
"A024",1977,6,51,0,0,0,0,0,1,0,12,0,5.52146
"A024",1978,7,51,1,0,0,0,0,1,0,12,0,5.57973
"A024",1979,8,52,1,0,0,0,0,1,0,12,0,5.66988
"A024",1980,9,49,1,0,0,0,0,1,0,12,0,5.73657
"A024",1981,10,51,1,0,0,0,0,1,1,12,0,5.84354
"A024",1982,11,50,1,0,0,0,0,1,0,12,0,5.85793
"A025",1976,8,37,0,0,0,1,1,0,1,17,0,6.52942
"A025",1977,9,39,0,0,0,1,1,0,1,17,0,6.57925
"A025",1978,10,40,0,0,0,1,1,0,1,17,0,6.71538
"A025",1979,11,38,0,0,0,1,1,0,1,17,0,6.68461
"A025",1980,12,38,0,0,0,1,1,0,1,17,0,6.79122
"A025",1981,13,39,0,0,0,1,1,0,1,17,0,6.97541
"A025",1982,14,41,0,0,0,1,1,0,1,17,0,6.90776
"A026",1976,14,48,0,1,1,1,1,0,0,15,0,6.47697
"A026",1977,15,47,1,1,1,1,1,0,0,15,0,6.55108
"A026",1978,16,49,0,1,1,1,1,0,0,15,0,6.86693
"A026",1979,17,48,0,1,1,1,1,0,0,15,0,6.85646
"A026",1980,18,47,0,1,1,1,1,0,0,15,0,7.27932
"A026",1981,19,47,0,1,1,1,1,0,0,15,0,7.54961
"A026",1982,20,48,0,1,1,1,1,0,0,15,0,7.36708
"A027",1976,8,50,0,0,0,1,0,0,0,16,0,6.01616
"A027",1977,9,52,0,0,0,1,0,0,0,16,0,6.90575
"A027",1978,10,48,0,0,0,0,0,0,0,16,0,7.04752
"A027",1979,11,50,0,0,0,0,0,0,0,16,0,7.26193
"A027",1980,12,50,0,0,0,0,0,0,0,16,0,7.09008
"A027",1981,13,45,0,0,0,0,0,0,0,16,0,6.96319
"A027",1982,14,23,0,0,0,0,0,0,0,16,0,7.31322
"A028",1976,26,50,1,0,0,1,1,0,0,12,0,6.7334
"A028",1977,27,50,1,0,0,1,1,0,0,12,0,6.69703
"A028",1978,28,50,1,0,0,1,1,0,0,12,0,6.68461
"A028",1979,29,50,1,0,0,1,1,0,0,12,0,6.74524
"A028",1980,30,50,1,0,0,1,1,0,0,12,0,6.73102
"A028",1981,31,49,1,0,0,1,1,0,0,12,0,6.80239
"A028",1982,32,49,1,0,0,1,1,0,0,12,0,6.74524
"A029",1976,31,49,0,0,0,1,1,0,0,14,0,6.90575
"A029",1977,32,49,0,0,0,1,1,0,0,14,0,6.90575
"A029",1978,33,49,0,0,0,1,1,0,0,14,0,7.06219
"A029",1979,34,49,0,0,0,1,1,0,0,14,0,7.57558
"A029",1980,35,50,0,0,0,1,1,0,0,14,0,7.67322
"A029",1981,36,49,0,0,0,1,1,0,0,14,0,7.47307
"A029",1982,37,49,0,0,0,1,1,0,0,14,0,7.56008
"A030",1976,17,47,0,0,1,1,0,1,0,12,0,6.19644
"A030",1977,18,47,0,0,1,1,0,1,0,12,0,6.29895
"A030",1978,19,48,0,0,1,1,0,1,0,12,0,6.3315
"A030",1979,20,49,0,0,1,1,0,1,0,12,0,6.36303
"A030",1980,21,49,0,0,1,1,0,1,0,12,0,6.48158
"A030",1981,22,45,0,0,1,1,0,1,0,12,0,6.57786
"A030",1982,23,49,0,0,1,1,0,1,0,12,0,6.64379
"A031",1976,22,48,0,1,0,1,1,0,0,17,0,6.90575
"A031",1977,23,48,0,1,0,1,1,0,0,17,0,6.90575
"A031",1978,24,48,0,1,0,1,1,0,0,17,0,7.31322
"A031",1979,25,47,0,1,0,1,1,0,0,17,0,7.24423
"A031",1980,26,43,0,1,0,1,1,0,0,17,0,7.48437
"A031",1981,27,47,0,0,0,1,1,0,0,17,0,7.54961
"A031",1982,28,45,0,1,0,1,1,0,0,17,0,7.61332
"A032",1976,30,50,0,1,0,1,1,0,0,16,0,6.90575
"A032",1977,31,49,0,1,0,1,1,0,0,16,0,6.90575
"A032",1978,32,49,0,1,0,1,1,0,0,16,0,7.46737
"A032",1979,33,48,0,1,0,1,1,0,0,16,0,7.40853
"A032",1980,34,49,0,1,0,1,1,0,0,16,0,7.60589
"A032",1981,35,47,0,1,0,1,1,0,0,16,0,8.04879
"A032",1982,36,47,0,1,0,1,1,0,0,16,0,7.74066
"A033",1976,14,51,0,0,0,1,1,0,0,16,0,6.90575
"A033",1977,15,47,0,0,0,1,1,0,0,16,0,6.90575
"A033",1978,16,51,0,0,0,1,1,0,0,16,0,7.17012
"A033",1979,17,47,0,0,0,1,1,0,0,16,0,7.27932
"A033",1980,18,48,0,0,0,1,1,0,0,16,0,7.24065
"A033",1981,19,50,0,0,0,1,1,0,0,16,0,7.37776
"A033",1982,20,49,0,0,0,1,1,0,0,16,0,7.46737
"A034",1976,45,48,1,0,1,0,1,0,0,8,0,5.7589
"A034",1977,46,48,1,0,1,0,1,0,0,8,0,5.86079
"A034",1978,47,48,1,0,1,0,1,0,0,8,0,5.82305
"A034",1979,48,49,1,0,1,0,1,0,0,8,0,5.94803
"A034",1980,49,50,1,0,1,0,1,0,0,8,0,6.24804
"A034",1981,50,48,1,0,1,0,1,0,0,8,0,6.20658
"A034",1982,51,46,1,0,1,0,1,0,0,8,0,5.98394
"A035",1976,8,30,1,0,0,1,1,0,1,13,1,6.51471
"A035",1977,9,49,1,1,0,1,1,0,1,13,1,6.6107
"A035",1978,10,48,1,1,0,1,1,0,1,13,1,6.39693
"A035",1979,11,49,1,1,0,1,1,0,1,13,1,6.75227
"A035",1980,12,34,1,1,0,1,1,0,1,13,1,6.88653
"A035",1981,13,48,1,1,0,1,1,0,1,13,1,7.01212
"A035",1982,14,45,1,1,0,1,1,0,1,13,1,7.02554
"A036",1976,15,52,1,0,1,1,1,0,0,10,0,6.62007
"A036",1977,16,47,0,0,1,1,1,0,0,10,0,6.77422
"A036",1978,17,50,0,0,1,0,1,0,0,10,0,7.1309
"A036",1979,18,50,0,0,1,0,1,0,0,10,0,7.08841
"A036",1980,19,48,0,0,1,1,1,0,0,10,0,7.1309
"A036",1981,20,50,0,0,1,1,1,0,0,10,0,6.90776
"A036",1982,21,41,0,0,1,1,1,0,0,10,0,7.18007
"A037",1976,12,52,0,0,0,1,1,0,0,14,0,6.90575
"A037",1977,13,47,0,0,0,1,1,0,0,14,0,6.7417
"A037",1978,14,50,0,0,0,1,1,0,0,14,0,7.00307
"A037",1979,15,49,0,0,0,1,1,0,0,14,0,7.1309
"A037",1980,16,50,0,0,0,1,1,0,0,14,0,7.14283
"A037",1981,17,48,0,0,0,1,1,0,0,14,0,7.28276
"A037",1982,18,49,0,0,0,1,0,0,0,14,0,7.40914
"A038",1976,10,48,1,1,0,0,1,0,1,12,0,6.05209
"A038",1977,11,49,1,1,0,0,1,0,1,12,0,6.05209
"A038",1978,12,48,1,1,0,0,1,0,1,12,0,6.05209
"A038",1979,13,48,1,1,0,0,1,0,1,12,0,6.36819
"A038",1980,14,49,1,1,0,0,1,0,1,12,0,6.43615
"A038",1981,15,48,0,1,0,0,1,0,1,12,0,6.54965
"A038",1982,16,49,1,1,0,0,1,0,1,12,0,6.52209
"A039",1976,6,47,0,0,0,1,1,0,0,13,0,6.47697
"A039",1977,7,51,0,0,0,1,0,0,0,13,0,6.58617
"A039",1978,8,48,0,0,0,1,0,0,0,13,0,6.47697
"A039",1979,9,50,0,0,0,1,0,0,0,13,0,6.52942
"A039",1980,10,50,0,0,0,1,0,0,0,13,0,6.80239
"A039",1981,11,52,0,0,0,1,0,0,0,13,0,6.77992
"A039",1982,12,51,0,0,0,1,1,0,0,13,0,6.80793
"A040",1976,30,47,0,0,1,0,1,0,1,8,0,6.35784
"A040",1977,31,39,0,0,1,0,1,0,1,8,0,6.49979
"A040",1978,32,32,0,0,1,0,1,0,1,8,0,6.58203
"A040",1979,33,35,0,0,1,0,1,0,1,8,0,6.69456
"A040",1980,34,47,0,0,1,0,1,0,1,8,0,6.78784
"A040",1981,35,45,0,0,1,0,1,0,1,8,0,6.90776
"A040",1982,36,47,0,0,1,0,1,0,1,8,0,7.35819
"A041",1976,20,50,0,0,1,1,1,0,0,16,0,6.90575
"A041",1977,21,50,0,0,1,1,1,0,0,16,0,6.90575
"A041",1978,22,50,0,0,1,1,1,0,0,16,0,7.37776
"A041",1979,23,50,0,0,1,1,1,0,0,16,0,7.49109
"A041",1980,24,50,0,0,1,1,1,0,0,16,0,7.57558
"A041",1981,25,48,0,0,1,1,1,0,0,16,0,7.52833
"A041",1982,26,47,0,0,1,1,1,0,0,16,0,7.745
"A042",1976,30,38,1,1,0,1,0,1,1,12,1,6.2186
"A042",1977,31,41,1,0,0,1,0,1,1,12,1,6.49375
"A042",1978,32,51,1,0,0,1,0,1,1,12,1,6.58064
"A042",1979,33,50,1,1,0,1,0,1,1,12,1,6.6896
"A042",1980,34,42,1,1,0,1,0,1,1,12,1,6.79347
"A042",1981,35,50,1,1,0,1,0,1,1,12,1,6.92461
"A042",1982,36,49,1,1,0,1,0,1,1,12,1,7.02554
"A043",1976,5,49,0,0,0,1,1,0,0,16,0,6.68461
"A043",1977,6,47,0,0,0,1,1,0,0,16,0,6.84375
"A043",1978,7,48,0,0,0,1,1,0,0,16,0,6.90776
"A043",1979,8,49,0,0,0,1,1,0,0,16,0,7.00307
"A043",1980,9,46,0,0,0,1,1,0,0,16,0,7.1309
"A043",1981,10,45,0,0,0,1,1,0,0,16,0,7.40853
"A043",1982,11,49,0,0,0,1,1,0,0,16,0,7.43838
"A044",1976,7,48,0,1,0,1,1,0,0,17,0,6.90575
"A044",1977,8,48,0,1,0,1,1,0,0,17,0,6.90575
"A044",1978,9,48,0,1,0,1,1,0,0,17,0,7.20786
"A044",1979,10,47,0,1,0,1,1,0,0,17,0,7.31322
"A044",1980,11,46,0,1,0,1,1,0,0,17,0,7.43838
"A044",1981,12,46,0,1,0,1,1,0,0,17,0,7.49332
"A044",1982,13,46,0,1,0,1,1,0,0,17,0,7.6009
"A045",1976,13,49,0,0,0,1,0,1,0,13,0,6.22456
"A045",1977,14,50,0,0,0,1,0,1,0,13,0,6.33328
"A045",1978,15,50,0,0,0,1,0,1,0,13,0,6.30992
"A045",1979,16,50,0,0,0,1,0,1,0,13,0,6.47697
"A045",1980,17,50,0,0,0,1,0,1,0,13,0,6.63332
"A045",1981,18,50,0,0,0,1,0,1,0,13,0,6.68211
"A045",1982,19,49,0,0,0,1,0,1,0,13,0,6.65286
"A046",1976,6,42,1,0,0,0,1,0,1,12,0,6.12687
"A046",1977,7,44,1,0,0,0,1,0,1,12,0,6.23245
"A046",1978,8,48,1,0,0,0,1,0,1,12,0,6.32615
"A046",1979,9,47,1,0,0,0,1,0,1,12,0,6.32436
"A046",1980,10,48,1,0,0,0,1,0,1,12,0,6.4677
"A046",1981,11,47,0,0,0,0,1,0,1,12,0,6.60665
"A046",1982,12,47,1,0,0,0,1,0,1,12,0,6.55108
"A047",1976,26,48,0,0,0,1,1,0,0,14,0,6.90575
"A047",1977,27,49,0,0,0,1,1,0,0,14,0,6.90575
"A047",1978,28,48,0,0,0,1,1,0,0,14,0,7.04752
"A047",1979,29,48,0,0,0,1,1,0,0,14,0,7.09008
"A047",1980,30,48,0,0,0,1,1,0,0,14,0,7.20786
"A047",1981,31,47,0,0,0,1,1,0,0,14,0,7.11802
"A047",1982,32,48,0,0,0,1,1,0,0,14,0,7.09008
"A048",1976,26,50,0,1,0,1,0,0,0,16,0,6.90575
"A048",1977,27,50,0,1,0,1,0,0,0,16,0,6.90575
"A048",1978,28,50,0,1,0,1,0,0,0,16,0,7.1309
"A048",1979,29,50,0,1,0,1,0,0,0,16,0,7.22621
"A048",1980,30,48,0,1,0,1,1,0,0,16,0,7.1309
"A048",1981,31,41,0,1,0,1,1,0,0,16,0,7.31322
"A048",1982,32,49,0,1,0,1,0,0,0,16,0,7.43838
"A049",1976,31,47,0,1,0,0,1,0,0,16,0,6.90575
"A049",1977,32,46,0,1,0,0,1,0,0,16,0,6.90575
"A049",1978,33,47,0,1,0,0,1,0,0,16,0,7.6009
"A049",1979,34,48,0,1,0,0,1,0,0,16,0,7.67601
"A049",1980,35,47,0,1,0,0,1,0,0,16,0,7.7021
"A049",1981,36,49,0,1,0,0,1,0,0,16,0,7.69621
"A049",1982,37,48,0,1,0,0,1,0,0,16,0,7.82084
"A050",1976,31,50,0,0,0,1,0,1,1,12,0,6.27099
"A050",1977,32,45,0,0,0,1,0,1,1,12,0,6.39859
"A050",1978,33,43,0,0,0,1,0,1,1,12,0,6.48311
"A050",1979,34,48,0,0,0,1,0,1,1,12,0,6.55678
"A050",1980,35,46,0,0,0,1,0,1,1,12,0,6.65544
"A050",1981,36,32,0,0,0,1,0,1,1,12,0,6.74876
"A050",1982,37,28,0,0,0,1,0,1,1,12,0,6.84907
"A051",1976,31,45,0,1,0,1,1,0,0,17,0,6.90575
"A051",1977,32,48,0,1,0,1,1,0,0,17,0,6.90575
"A051",1978,33,48,0,1,0,1,1,0,0,17,0,7.6009
"A051",1979,34,47,0,0,0,1,1,0,0,17,0,7.64969
"A051",1980,35,48,0,1,0,1,1,0,0,17,0,7.82405
"A051",1981,36,47,0,1,0,1,1,0,0,17,0,7.86327
"A051",1982,37,44,0,1,0,1,1,0,0,17,0,7.91936
"A052",1976,25,46,0,0,0,1,1,0,0,16,0,6.90575
"A052",1977,26,49,0,0,0,1,1,0,0,16,0,6.90575
"A052",1978,27,49,0,0,0,1,1,0,0,16,0,7.24423
"A052",1979,28,48,0,0,0,1,1,0,0,16,0,7.1309
"A052",1980,29,48,0,0,0,1,1,0,0,16,0,7.46737
"A052",1981,30,48,0,0,0,1,1,0,0,16,0,7.6009
"A052",1982,31,49,0,0,0,1,1,0,1,16,0,7.64969
"A053",1976,13,47,0,0,1,0,1,0,0,13,0,6.43615
"A053",1977,14,49,0,0,1,0,1,0,0,13,0,6.90575
"A053",1978,15,48,1,0,0,0,1,0,0,13,0,6.95655
"A053",1979,16,49,1,0,0,0,1,0,0,13,0,6.95655
"A053",1980,17,48,0,0,0,0,1,0,0,13,0,7.06048
"A053",1981,18,47,1,0,0,0,1,0,0,13,0,7.20786
"A053",1982,19,48,0,0,0,0,1,0,0,13,0,7.20786
"A054",1976,13,47,1,1,0,0,1,0,1,11,0,6.51175
"A054",1977,14,52,1,1,0,0,1,0,1,11,0,6.5903
"A054",1978,15,51,1,1,0,0,1,0,1,11,0,6.68461
"A054",1979,16,51,1,1,0,0,1,0,1,11,0,6.74524
"A054",1980,17,49,1,1,0,0,1,0,1,11,0,6.8977
"A054",1981,18,49,1,1,0,0,1,0,1,11,0,7.0775
"A054",1982,19,50,1,1,0,0,1,0,1,11,0,7.10003
"A055",1976,32,49,1,1,0,1,1,0,1,8,0,6.65415
"A055",1977,33,49,1,1,0,1,1,0,1,8,0,6.85013
"A055",1978,34,49,1,1,0,1,1,0,1,8,0,6.85646
"A055",1979,35,47,1,1,0,1,1,0,1,8,0,6.92363
"A055",1980,36,48,1,1,0,1,1,0,1,8,0,7.04141
"A055",1981,37,47,1,1,0,1,1,0,1,8,0,7.1333
"A055",1982,38,46,1,1,0,1,1,0,1,8,0,7.20786
"A056",1976,23,51,1,1,1,0,1,0,0,12,0,6.10925
"A056",1977,24,49,1,1,1,0,1,0,0,12,0,6.16331
"A056",1978,25,52,1,1,1,0,1,0,0,12,0,6.33328
"A056",1979,26,52,1,1,1,0,1,0,0,12,0,6.33328
"A056",1980,27,48,1,1,1,0,1,0,0,12,0,6.43775
"A056",1981,28,50,1,1,1,0,1,0,0,12,0,6.58617
"A056",1982,29,50,1,1,1,0,1,0,0,12,0,6.53379
"A057",1976,21,47,1,0,1,1,1,0,0,11,0,6.04025
"A057",1977,22,49,1,0,1,1,1,0,0,11,0,6.28972
"A057",1978,23,49,1,0,1,1,1,0,0,11,0,6.01616
"A057",1979,24,49,0,0,1,1,1,0,0,11,0,6.57786
"A057",1980,25,47,0,0,1,1,1,0,0,11,0,6.55108
"A057",1981,26,48,0,0,1,1,1,0,0,11,0,6.53233
"A057",1982,27,48,0,0,1,1,1,0,0,11,0,6.31355
"A058",1976,37,49,1,1,0,1,1,0,1,14,0,6.55108
"A058",1977,38,48,1,1,0,1,1,0,1,14,0,6.68461
"A058",1978,39,40,1,1,0,1,1,0,1,14,0,6.69703
"A058",1979,40,48,1,1,0,1,1,0,0,14,0,6.90776
"A058",1980,41,48,1,1,0,1,1,0,1,14,0,7.00307
"A058",1981,42,48,1,1,0,1,1,0,1,14,0,7.1624
"A058",1982,43,48,1,1,0,1,1,0,0,14,0,7.1309
"A059",1976,26,48,0,1,0,1,1,0,0,17,0,6.90575
"A059",1977,27,49,0,1,0,1,1,0,0,17,0,6.90575
